Time,Power
02-01-2013 00:00,0.163495886
02-01-2013 01:00,0.142395886
02-01-2013 02:00,0.121395886
02-01-2013 03:00,0.100295886
02-01-2013 04:00,0.079295886
02-01-2013 05:00,0.077795886
02-01-2013 06:00,0.095895886
02-01-2013 07:00,0.114095886
02-01-2013 08:00,0.132195886
02-01-2013 09:00,0.150295886
02-01-2013 10:00,0.168395886
02-01-2013 11:00,0.186595886
02-01-2013 12:00,0.206595886
02-01-2013 13:00,0.228595886
02-01-2013 14:00,0.250595886
02-01-2013 15:00,0.272595886
02-01-2013 16:00,0.294495886
02-01-2013 17:00,0.316495886
02-01-2013 18:00,0.316195886
02-01-2013 19:00,0.293595886
02-01-2013 20:00,0.270995886
02-01-2013 21:00,0.248395886
02-01-2013 22:00,0.225695886
02-01-2013 23:00,0.203095886
03-01-2013 00:00,0.180495886
03-01-2013 01:00,0.157895886
03-01-2013 02:00,0.135295886
03-01-2013 03:00,0.112695886
03-01-2013 04:00,0.090095886
03-01-2013 05:00,0.085795886
03-01-2013 06:00,0.099795886
03-01-2013 07:00,0.113795886
03-01-2013 08:00,0.127795886
03-01-2013 09:00,0.141795886
03-01-2013 10:00,0.155795886
03-01-2013 11:00,0.169795886
03-01-2013 12:00,0.183895886
03-01-2013 13:00,0.197895886
03-01-2013 14:00,0.211895886
03-01-2013 15:00,0.225895886
03-01-2013 16:00,0.239895886
03-01-2013 17:00,0.253895886
03-01-2013 18:00,0.290895886
03-01-2013 19:00,0.350795886
03-01-2013 20:00,0.410695886
03-01-2013 21:00,0.470595886
03-01-2013 22:00,0.530595886
03-01-2013 23:00,0.590495886
04-01-2013 00:00,0.650395886
04-01-2013 01:00,0.710295886
04-01-2013 02:00,0.770195886
04-01-2013 03:00,0.830095886
04-01-2013 04:00,0.889995886
04-01-2013 05:00,0.920695886
04-01-2013 06:00,0.922095886
04-01-2013 07:00,0.923495886
04-01-2013 08:00,0.924795886
04-01-2013 09:00,0.926195886
04-01-2013 10:00,0.927595886
04-01-2013 11:00,0.928995886
04-01-2013 12:00,0.925895886
04-01-2013 13:00,0.918295886
04-01-2013 14:00,0.910695886
