Date,Temp_2m,RelHum_2m,DP_2m,WS_10m,WS_100m,WD_10m,WD_100m,WG_10m
2013-01-02 00:00,28.27960022,84.66420479,24.07259522,1.605389169,1.267799417,145.0516826,161.0573147,1.336515074
2013-01-02 01:00,28.17960022,85.66420479,24.27259522,2.225389169,3.997799417,150.0516826,157.0573147,4.336515074
2013-01-02 02:00,26.57960022,90.66420479,24.07259522,1.465389169,2.787799417,147.0516826,149.0573147,3.136515074
2013-01-02 03:00,27.17960022,87.66420479,23.87259522,1.465389169,2.697799417,57.05168257,104.0573147,1.536515074
2013-01-02 04:00,27.07960022,87.66420479,23.67259522,2.635389169,4.437799417,57.05168257,83.0573147,3.936515074
2013-01-02 05:00,27.37960022,89.66420479,24.77259522,2.895389169,5.597799417,65.05168257,79.0573147,4.436515074
2013-01-02 06:00,26.47960022,91.66420479,24.47259522,2.265389169,5.827799417,64.05168257,77.0573147,4.636515074
2013-01-02 07:00,28.17960022,90.66420479,25.67259522,3.265389169,6.247799417,68.05168257,77.0573147,4.736515074
2013-01-02 08:00,29.97960022,87.66420479,26.57259522,3.705389169,6.897799417,73.05168257,80.0573147,5.736515074
2013-01-02 09:00,33.77960022,81.66420479,28.67259522,3.605389169,6.017799417,81.05168257,85.0573147,6.436515074
2013-01-02 10:00,35.37960022,72.66420479,27.27259522,3.875389169,5.327799417,92.05168257,94.0573147,7.936515074
2013-01-02 11:00,35.97960022,68.66420479,26.57259522,3.385389169,4.657799417,96.05168257,98.0573147,8.036515074
2013-01-02 12:00,35.97960022,70.66420479,27.17259522,3.385389169,4.557799417,96.05168257,98.0573147,7.436515074
2013-01-02 13:00,35.67960022,72.66420479,27.77259522,2.865389169,3.927799417,91.05168257,95.0573147,7.236515074
2013-01-02 14:00,35.97960022,74.66420479,28.47259522,3.475389169,4.817799417,92.05168257,93.0573147,6.936515074
2013-01-02 15:00,35.17960022,79.66420479,29.37259522,2.965389169,4.827799417,91.05168257,94.0573147,7.036515074
2013-01-02 16:00,32.07960022,89.66420479,29.37259522,2.665389169,5.537799417,89.05168257,95.0573147,5.336515074
2013-01-02 17:00,32.57960022,91.66420479,30.37259522,2.865389169,6.077799417,89.05168257,98.0573147,4.536515074
2013-01-02 18:00,34.67960022,89.66420479,31.87259522,2.915389169,5.817799417,79.05168257,92.0573147,5.036515074
2013-01-02 19:00,35.47960022,91.66420479,33.37259522,2.615389169,5.797799417,101.0516826,107.0573147,5.536515074
2013-01-02 20:00,35.47960022,93.66420479,33.67259522,1.435389169,3.117799417,44.05168257,83.0573147,4.436515074
2013-01-02 21:00,35.27960022,94.66420479,33.67259522,2.855389169,5.357799417,104.0516826,106.0573147,4.836515074
2013-01-02 22:00,35.47960022,94.66420479,33.87259522,3.675389169,6.917799417,109.0516826,111.0573147,6.536515074
2013-01-02 23:00,35.77960022,94.66420479,34.37259522,3.105389169,6.157799417,99.05168257,111.0573147,6.736515074
2013-01-03 00:00,35.87960022,95.66420479,34.67259522,3.105389169,5.607799417,71.05168257,91.0573147,5.436515074
2013-01-03 01:00,36.37960022,96.66420479,35.37259522,2.985389169,5.777799417,112.0516826,117.0573147,6.036515074
2013-01-03 02:00,36.37960022,98.66420479,35.77259522,1.555389169,3.397799417,110.0516826,134.0573147,5.136515074
2013-01-03 03:00,36.37960022,98.66420479,35.97259522,1.775389169,2.427799417,29.05168257,82.0573147,2.936515074
2013-01-03 04:00,36.07960022,99.66420479,35.77259522,1.335389169,1.637799417,19.05168257,42.0573147,3.036515074
2013-01-03 05:00,36.27960022,99.66420479,35.97259522,1.965389169,2.827799417,55.05168257,66.0573147,2.836515074
2013-01-03 06:00,35.67960022,99.66420479,35.37259522,1.845389169,3.867799417,72.05168257,79.0573147,4.236515074
2013-01-03 07:00,36.07960022,99.66420479,35.77259522,1.965389169,3.457799417,55.05168257,79.0573147,3.536515074
2013-01-03 08:00,36.37960022,99.66420479,36.07259522,2.675389169,4.627799417,60.05168257,71.0573147,4.436515074
2013-01-03 09:00,37.17960022,98.66420479,36.77259522,2.665389169,4.907799417,52.05168257,69.0573147,4.736515074
2013-01-03 10:00,37.67960022,98.66420479,37.17259522,2.185389169,4.207799417,56.05168257,64.0573147,4.236515074
2013-01-03 11:00,38.27960022,97.66420479,37.57259522,1.695389169,2.657799417,78.05168257,78.0573147,4.136515074
2013-01-03 12:00,38.57960022,96.66420479,37.67259522,1.295389169,1.587799417,44.05168257,54.0573147,3.436515074
2013-01-03 13:00,38.77960022,96.66420479,37.77259522,1.205389169,1.497799417,16.05168257,19.0573147,2.736515074
2013-01-03 14:00,38.47960022,98.66420479,37.97259522,1.575389169,2.207799417,314.0516826,320.0573147,2.636515074
2013-01-03 15:00,38.17960022,99.66420479,37.87259522,1.945389169,3.417799417,321.0516826,327.0573147,3.036515074
2013-01-03 16:00,37.77960022,99.66420479,37.47259522,2.745389169,4.887799417,305.0516826,316.0573147,4.436515074
2013-01-03 17:00,36.97960022,98.66420479,36.57259522,3.325389169,5.737799417,304.0516826,312.0573147,5.736515074
2013-01-03 18:00,36.17960022,98.66420479,35.77259522,2.295389169,4.537799417,318.0516826,328.0573147,6.136515074
2013-01-03 19:00,35.97960022,98.66420479,35.57259522,3.475389169,5.527799417,294.0516826,301.0573147,6.036515074
2013-01-03 20:00,35.47960022,98.66420479,35.07259522,3.485389169,5.467799417,290.0516826,295.0573147,6.736515074
2013-01-03 21:00,35.17960022,99.66420479,34.87259522,3.735389169,5.707799417,287.0516826,291.0573147,6.836515074
2013-01-03 22:00,34.77960022,98.66420479,34.37259522,5.015389169,8.147799417,277.0516826,280.0573147,9.136515074
2013-01-03 23:00,33.77960022,96.66420479,32.77259522,6.035389169,10.41779942,283.0516826,285.0573147,11.63651507
2013-01-04 00:00,33.47960022,94.66420479,31.87259522,5.005389169,8.327799417,287.0516826,289.0573147,12.03651507
2013-01-04 01:00,32.37960022,94.66420479,30.77259522,6.115389169,10.11779942,277.0516826,278.0573147,11.63651507
2013-01-04 02:00,32.07960022,92.66420479,30.17259522,6.015389169,9.937799417,277.0516826,278.0573147,11.93651507
2013-01-04 03:00,31.67960022,90.66420479,28.97259522,7.425389169,11.81779942,276.0516826,277.0573147,14.13651507
2013-01-04 04:00,28.47960022,87.66420479,25.07259522,7.575389169,11.93779942,271.0516826,273.0573147,14.83651507
2013-01-04 05:00,25.67960022,77.66420479,19.57259522,7.765389169,12.30779942,267.0516826,269.0573147,14.93651507
2013-01-04 06:00,25.17960022,76.66420479,18.87259522,8.495389169,13.42779942,264.0516826,266.0573147,16.43651507
2013-01-04 07:00,21.67960022,70.66420479,13.47259522,8.085389169,12.81779942,265.0516826,267.0573147,16.83651507
2013-01-04 08:00,18.97960022,61.66420479,7.972595223,8.875389169,13.81779942,266.0516826,267.0573147,16.83651507
2013-01-04 09:00,17.17960022,55.66420479,4.072595223,8.685389169,13.51779942,265.0516826,267.0573147,17.63651507
2013-01-04 10:00,17.57960022,48.66420479,1.572595223,9.265389169,14.13779942,271.0516826,273.0573147,18.73651507
2013-01-04 11:00,17.47960022,49.66420479,1.572595223,9.305389169,13.96779942,274.0516826,274.0573147,19.13651507
2013-01-04 12:00,17.47960022,47.66420479,1.072595223,9.265389169,13.81779942,270.0516826,271.0573147,18.63651507
2013-01-04 13:00,16.87960022,46.66420479,-0.227404777,9.165389169,13.90779942,269.0516826,269.0573147,18.53651507
2013-01-04 14:00,15.87960022,45.66420479,-1.527404777,9.165389169,13.80779942,268.0516826,269.0573147,18.63651507
2013-01-04 15:00,15.47960022,44.66420479,-2.427404777,8.965389169,13.70779942,268.0516826,269.0573147,18.13651507
2013-01-04 16:00,14.57960022,48.66420479,-1.327404777,8.285389169,13.10779942,265.0516826,268.0573147,17.73651507
2013-01-04 17:00,14.37960022,48.66420479,-1.427404777,8.365389169,13.42779942,270.0516826,272.0573147,16.93651507
2013-01-04 18:00,13.87960022,51.66420479,-0.627404777,7.775389169,12.60779942,267.0516826,269.0573147,16.63651507
2013-01-04 19:00,13.57960022,51.66420479,-1.027404777,7.665389169,12.40779942,267.0516826,269.0573147,16.83651507
2013-01-04 20:00,12.77960022,54.66420479,-0.527404777,7.375389169,12.10779942,267.0516826,269.0573147,15.23651507
2013-01-04 21:00,12.37960022,54.66420479,-0.727404777,6.895389169,11.40779942,264.0516826,267.0573147,14.23651507
2013-01-04 22:00,12.47960022,56.66420479,-0.127404777,6.395389169,10.40779942,263.0516826,268.0573147,13.33651507
2013-01-04 23:00,12.57960022,56.66420479,-0.027404777,6.335389169,10.32779942,261.0516826,266.0573147,12.13651507
2013-01-05 00:00,12.57960022,56.66420479,-0.027404777,6.425389169,10.43779942,261.0516826,265.0573147,12.73651507
2013-01-05 01:00,12.07960022,58.66420479,0.072595223,6.185389169,10.15779942,258.0516826,263.0573147,12.43651507
2013-01-05 02:00,11.27960022,58.66420479,-0.427404777,5.835389169,9.637799417,260.0516826,264.0573147,11.93651507
2013-01-05 03:00,11.07960022,57.66420479,-1.027404777,5.485389169,9.067799417,257.0516826,263.0573147,11.03651507
2013-01-05 04:00,11.37960022,56.66420479,-1.227404777,5.455389169,8.967799417,254.0516826,258.0573147,10.53651507
2013-01-05 05:00,11.37960022,56.66420479,-1.027404777,4.875389169,8.057799417,257.0516826,263.0573147,10.33651507
2013-01-05 06:00,11.47960022,62.66420479,1.072595223,4.755389169,8.147799417,253.0516826,258.0573147,9.136515074
2013-01-05 07:00,11.27960022,62.66420479,0.872595223,4.475389169,7.727799417,247.0516826,252.0573147,9.136515074
2013-01-05 08:00,11.87960022,60.66420479,0.872595223,4.085389169,7.287799417,250.0516826,253.0573147,8.636515074
2013-01-05 09:00,12.57960022,53.66420479,-1.027404777,5.625389169,8.677799417,261.0516826,262.0573147,11.23651507
2013-01-05 10:00,13.07960022,52.66420479,-1.127404777,5.935389169,8.887799417,260.0516826,261.0573147,12.03651507
2013-01-05 11:00,13.17960022,50.66420479,-1.727404777,5.775389169,8.637799417,258.0516826,259.0573147,12.13651507
2013-01-05 12:00,13.17960022,49.66420479,-2.027404777,6.035389169,8.907799417,260.0516826,261.0573147,12.33651507
2013-01-05 13:00,12.77960022,49.66420479,-2.527404777,6.015389169,9.077799417,261.0516826,262.0573147,12.33651507
