DATE_TIME,PLANT_ID_generation,SOURCE_KEY_generation,DC_POWER,AC_POWER,DAILY_YIELD,TOTAL_YIELD
15/05/2020 00:00,4135001,zVJPv84UY57bAof,0,0,0,7116151
15/05/2020 00:15,4135001,zVJPv84UY57bAof,0,0,0,7116151
15/05/2020 00:30,4135001,zVJPv84UY57bAof,0,0,0,7116151
15/05/2020 00:45,4135001,zVJPv84UY57bAof,0,0,0,7116151
15/05/2020 01:00,4135001,zVJPv84UY57bAof,0,0,0,7116151
15/05/2020 01:15,4135001,zVJPv84UY57bAof,0,0,0,7116151
15/05/2020 01:30,4135001,zVJPv84UY57bAof,0,0,0,7116151
15/05/2020 01:45,4135001,zVJPv84UY57bAof,0,0,0,7116151
15/05/2020 02:00,4135001,zVJPv84UY57bAof,0,0,0,7116151
15/05/2020 02:15,4135001,zVJPv84UY57bAof,0,0,0,7116151
15/05/2020 02:30,4135001,zVJPv84UY57bAof,0,0,0,7116151
15/05/2020 02:45,4135001,zVJPv84UY57bAof,0,0,0,7116151
15/05/2020 03:00,4135001,zVJPv84UY57bAof,0,0,0,7116151
15/05/2020 03:15,4135001,zVJPv84UY57bAof,0,0,0,7116151
15/05/2020 03:30,4135001,zVJPv84UY57bAof,0,0,0,7116151
15/05/2020 03:45,4135001,zVJPv84UY57bAof,0,0,0,7116151
15/05/2020 04:00,4135001,zVJPv84UY57bAof,0,0,0,7116151
15/05/2020 04:15,4135001,zVJPv84UY57bAof,0,0,0,7116151
15/05/2020 04:30,4135001,zVJPv84UY57bAof,0,0,0,7116151
15/05/2020 04:45,4135001,zVJPv84UY57bAof,0,0,0,7116151
15/05/2020 05:00,4135001,zVJPv84UY57bAof,0,0,0,7116151
15/05/2020 05:15,4135001,zVJPv84UY57bAof,0,0,0,7116151
15/05/2020 05:30,4135001,zVJPv84UY57bAof,0,0,0,7116151
15/05/2020 05:45,4135001,zVJPv84UY57bAof,0,0,0,7116151
15/05/2020 06:00,4135001,zVJPv84UY57bAof,34.875,3.3625,0,7116151
15/05/2020 06:15,4135001,zVJPv84UY57bAof,277.7142857,26.84285714,2.571428571,7116153.571
15/05/2020 06:30,4135001,zVJPv84UY57bAof,614.875,59.55,13,7116164
15/05/2020 06:45,4135001,zVJPv84UY57bAof,1166.857143,113.4571429,33.85714286,7116184.857
15/05/2020 07:00,4135001,zVJPv84UY57bAof,1661.5,162.675,70,7116221
15/05/2020 07:15,4135001,zVJPv84UY57bAof,1814.857143,177.8857143,112.7142857,7116263.714
15/05/2020 07:30,4135001,zVJPv84UY57bAof,1740.125,170.5375,157,7116308
15/05/2020 07:45,4135001,zVJPv84UY57bAof,1783.142857,174.6428571,197.7142857,7116348.714
15/05/2020 08:00,4135001,zVJPv84UY57bAof,2621,257.2571429,245.5714286,7116396.571
15/05/2020 08:15,4135001,zVJPv84UY57bAof,4485.5,440.0625,335.125,7116486.125
15/05/2020 08:30,4135001,zVJPv84UY57bAof,5101.285714,500.3285714,457.2857143,7116608.286
15/05/2020 08:45,4135001,zVJPv84UY57bAof,2978.75,292.4375,553.875,7116704.875
15/05/2020 09:00,4135001,zVJPv84UY57bAof,5085.857143,498.4714286,653.2857143,7116804.286
15/05/2020 09:15,4135001,zVJPv84UY57bAof,0,0,711,7116862
15/05/2020 09:30,4135001,zVJPv84UY57bAof,0,0,711,7116862
15/05/2020 09:45,4135001,zVJPv84UY57bAof,5286.5,517.05,747.5,7116898.5
15/05/2020 10:00,4135001,zVJPv84UY57bAof,9611.428571,939.4571429,970.4285714,7117121.429
15/05/2020 10:15,4135001,zVJPv84UY57bAof,8342.25,815.8375,1158,7117309
15/05/2020 10:30,4135001,zVJPv84UY57bAof,6484.714286,634.6142857,1351.714286,7117502.714
15/05/2020 10:45,4135001,zVJPv84UY57bAof,5388.375,528.1625,1505.25,7117656.25
15/05/2020 11:00,4135001,zVJPv84UY57bAof,10284.28571,1004.314286,1689.285714,7117840.286
15/05/2020 11:15,4135001,zVJPv84UY57bAof,8617.5,842.275,1922.25,7118073.25
15/05/2020 11:30,4135001,zVJPv84UY57bAof,6598.428571,646.2142857,2111.285714,7118262.286
15/05/2020 11:45,4135001,zVJPv84UY57bAof,6012,589.0857143,2254,7118405
15/05/2020 12:00,4135001,zVJPv84UY57bAof,6880.875,673.6875,2432.25,7118583.25
15/05/2020 12:15,4135001,zVJPv84UY57bAof,7911.142857,773.8571429,2600.857143,7118751.857
15/05/2020 12:30,4135001,zVJPv84UY57bAof,8750,855.275,2839.5,7118990.5
15/05/2020 12:45,4135001,zVJPv84UY57bAof,9689.142857,947.1285714,3054.142857,7119205.143
15/05/2020 13:00,4135001,zVJPv84UY57bAof,5446.875,533.8625,3254.125,7119405.125
15/05/2020 13:15,4135001,zVJPv84UY57bAof,6664.571429,652.8,3405,7119556
15/05/2020 13:30,4135001,zVJPv84UY57bAof,7832.875,766.7375,3579.375,7119730.375
15/05/2020 13:45,4135001,zVJPv84UY57bAof,7835.571429,767.0142857,3774.571429,7119925.571
15/05/2020 14:00,4135001,zVJPv84UY57bAof,10144.125,991.75,3988,7120139
15/05/2020 14:15,4135001,zVJPv84UY57bAof,11908,1162.028571,4265.285714,7120416.286
15/05/2020 14:30,4135001,zVJPv84UY57bAof,6515.875,637.5625,4511.375,7120662.375
15/05/2020 14:45,4135001,zVJPv84UY57bAof,7319.285714,716.4857143,4663.285714,7120814.286
15/05/2020 15:00,4135001,zVJPv84UY57bAof,6074.5,595.2625,4829.875,7120980.875
15/05/2020 15:15,4135001,zVJPv84UY57bAof,5732.428571,561.8,4985.857143,7121136.857
15/05/2020 15:30,4135001,zVJPv84UY57bAof,7732.714286,756.9142857,5128.571429,7121279.571
15/05/2020 15:45,4135001,zVJPv84UY57bAof,4972.875,487.4875,5275,7121426
15/05/2020 16:00,4135001,zVJPv84UY57bAof,5172.857143,507.3,5412.571429,7121563.571
15/05/2020 16:15,4135001,zVJPv84UY57bAof,4719,463.025,5526.75,7121677.75
15/05/2020 16:30,4135001,zVJPv84UY57bAof,4927.571429,483.2285714,5650.857143,7121801.857
15/05/2020 16:45,4135001,zVJPv84UY57bAof,3702.5,363.8875,5756.75,7121907.75
15/05/2020 17:00,4135001,zVJPv84UY57bAof,2344,229.8142857,5830.857143,7121981.857
15/05/2020 17:15,4135001,zVJPv84UY57bAof,2339.375,229.3875,5889.25,7122040.25
15/05/2020 17:30,4135001,zVJPv84UY57bAof,1173.25,114.375,5927.5,7122078.5
15/05/2020 17:45,4135001,zVJPv84UY57bAof,519.25,50.225,5948.75,7122099.75
15/05/2020 18:00,4135001,zVJPv84UY57bAof,296.2857143,28.64285714,5959,7122110
